,Momentum,Mom_Sharpe,Mom_Slope,StDev,ROE,E/P,Sales/Price,BV/Price,Size_Factor,Quality,Value,MomSharpe_Size_EP,Vol_Size_EP,Mom_Size,Mom_EP,Size_EP,Mom_Size_Std,Size_Std,Benchmark NIFTY50,Benchmark NiftyMid
start,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2011-03-02 00:00:00,2011-03-02 00:00:00
end,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-11 00:00:00,2020-12-11 00:00:00
monthly_mean,0.33477164215422894,0.39556017433668844,0.356307811739707,0.15291881622054806,0.18219998866366421,0.04001767432059816,0.07711076945668767,0.14685237190845182,0.5083090383018987,0.16548412870494486,0.0750944433366881,0.4477830475170086,0.4195054300739848,0.49069353173936797,0.2575857667933431,0.3444227891212813,0.29116845057302876,0.21809707297081304,0.10174510094863401,0.12402269380008912
monthly_vol,0.22287533377785237,0.206012525250129,0.22810994605033974,0.18754139617082427,0.18440074505849904,0.26886138006485716,0.2585127762313984,0.24036099263760183,0.29705116261093223,0.24048610591759345,0.2588127294859594,0.2671223623134949,0.2991865435378811,0.26372951826916247,0.25556960805905826,0.27684042403224435,0.18206329667591872,0.1871860888485145,0.17477773599424035,0.2271288866041122
monthly_skew,-0.44463624596543555,-0.39769465208776306,-0.2903571101082915,-2.345460754985631,-1.1220171913882255,-0.09023296680217881,-0.2911897235601927,-0.14144472855468773,0.09852566375279244,-0.6809014350130564,-0.28526711086841616,-0.1086263747712801,0.14128711968801724,-0.48050557338882555,-0.19371972403206916,-0.29568082739086643,-0.5354329433867665,-0.5228657708600871,-0.6566978715920239,-0.84714618223078
monthly_kurt,0.9179856174578132,1.0704581261175172,0.7941888763316256,15.741992095407587,4.892874907014905,2.126155469204186,1.6289261858231554,1.4985722546287845,0.30909687196484503,3.8716616336061622,1.605502492885957,1.0668383302567226,3.7010481216608118,0.9446856353570747,1.0838456673186978,1.9628424614400797,2.1341049120923716,2.078865320828896,3.757411355517296,4.330479615374572
best_month,0.1884399326015962,0.1767098394324893,0.21434749201677739,0.1532505981236223,0.1669993614928702,0.2734180655651306,0.21381031799089434,0.23502914050140467,0.2684332931523734,0.19684866545663882,0.21381031799405137,0.269216440010589,0.3973453317725779,0.23801709663245707,0.20751670584864956,0.28940441795031346,0.19005339408682653,0.15636586333360714,0.14647034449041474,0.1616702703840338
worst_month,-0.17378695707753644,-0.16792530678313267,-0.17212356300307896,-0.33734096863914276,-0.2469635197985507,-0.2894263832708365,-0.2664358023334692,-0.2457724365205023,-0.18748817648627325,-0.30575722634303115,-0.26643580119485144,-0.22381614746833267,-0.30296657904441304,-0.20472614307319514,-0.23406863988212656,-0.28514026810276083,-0.1901432951148624,-0.21049755501542933,-0.2320626993866487,-0.3027815395085385
yearly_sharpe,0.9042046869459485,1.0173242918319654,1.0752222727725107,0.7086415162279414,0.7258371892259529,0.1602580216871637,0.3015335361997579,0.49286559599914576,1.1874058795111018,0.5575466061677352,0.29406013585814983,1.1229389549584252,1.1827295050132771,1.2719811674724324,0.714368452036901,1.0823672805333728,0.896056204248553,0.8418218391620416,1.031701786169131,0.7566267579657944
yearly_sortino,37.95389702306176,inf,inf,35.30751911198971,4.834224110017098,0.5221030397789601,0.9160465206876804,4.732966193394568,inf,3.541784979369623,0.8803809576114424,inf,inf,inf,4.65271135935228,inf,33.66640739088105,inf,9.81755794628151,3.794173783717695
yearly_mean,0.4145357441968515,0.4590425316969623,0.4039234358880134,0.1496190177761898,0.1876878071474561,0.05281254222657519,0.09854391361154088,0.12787996362520662,0.713126564779059,0.1783218719585423,0.09664650184549711,0.5900947424716886,0.5623259584958553,0.6435124074801557,0.32287326464050026,0.43672380100929853,0.33904074385484007,0.2360645632786637,0.1325830914958587,0.1961451910309094
yearly_vol,0.45845343447288683,0.45122537167605925,0.37566505653429033,0.21113498764876684,0.2585811390397481,0.32954694979119015,0.3268091332509634,0.25946214274901075,0.6005752347063325,0.3198331224437496,0.3286623722846878,0.5254913812243122,0.47544764556249297,0.50591347099807,0.45197021749754157,0.40348947059272544,0.3783699529642396,0.2804210490828379,0.1285091227651745,0.2592363922712032
yearly_skew,1.089539436018751,0.9427791335809735,0.9986574332967096,1.2784419547458474,1.2048433683807187,0.9360108719969048,0.7660560998041243,1.7889735652150582,1.579942065205525,0.9974389333702862,0.7569827654100264,0.972435132976998,1.4952428308443109,1.1034854846727968,0.8399013346664665,1.2289998129777815,1.585259174960094,1.263541650696598,0.36424714053898755,0.04378116438212555
yearly_kurt,0.25155901254134694,-0.6731566618138141,-0.8577963587440394,-0.1922581815956228,1.4610512808393565,-0.6471231050751998,-0.4642312761114509,2.988308790749488,2.6179805936138196,-0.6456994802985596,-0.4925730846708518,-0.5199914539388288,1.6138022102791343,-0.27938036184129356,-0.09141736209891604,0.7111974379089565,2.32365905715971,0.43751035284977924,-1.4672977897107211,-1.7281030784334872
best_year,1.2744014388976557,1.1769448384999195,1.0119554486952906,0.5034604480701976,0.7070793286717394,0.6357381909120494,0.6596980305064142,0.6895531779232464,1.9923021045350868,0.6799159224128144,0.6597210143492833,1.3950400916206487,1.5293869596936434,1.5044744741781235,1.1254142443714583,1.2098706189385178,1.1331811103354483,0.7715494584157603,0.3129193414865201,0.5588309652604861
worst_year,-0.030892325558842915,0.018444717338664596,0.07246880717549442,-0.011985732753235334,-0.10981313084347655,-0.2400364717241208,-0.29158325297391674,-0.06824566050537328,0.13638863952111557,-0.13084225466197263,-0.29148292360376127,0.06955845288445373,0.1370937177177567,0.12665323652620497,-0.18539286822952128,0.047559908399724016,-0.028483943213165608,0.015711127826818938,-0.04051407454521083,-0.1541627538322421
avg_drawdown,-0.034453581846840824,-0.024838729543207014,-0.03303556957166723,-0.020893888013507056,-0.025604642624765795,-0.05156243413328236,-0.05006831897977043,-0.043965152121254486,-0.03392977629544608,-0.026929052523794086,-0.05017453043927267,-0.02731659291000186,-0.04027642696099166,-0.02957341502751647,-0.03345507071523063,-0.03387733275994094,-0.021664672577614123,-0.023529500560628133,-0.031053612497812792,-0.057069886484012164
avg_drawdown_days,24.05982905982906,17.272727272727273,23.132231404958677,29.525252525252526,29.515151515151516,71.43181818181819,60.78431372549019,53.228070175438596,20.0,34.15909090909091,60.78431372549019,17.031446540880502,23.512396694214875,15.337209302325581,24.525862068965516,25.651785714285715,20.03676470588235,26.49074074074074,41.15,58.43859649122807
avg_up_month,0.06090379291432133,0.06098195368042687,0.06295139333358533,0.037378401935127314,0.04468902822038059,0.06016586301560921,0.054775759851642895,0.061684143953828645,0.08539935840047358,0.052608247204628505,0.0547759664603695,0.07597948831105243,0.07810246417571545,0.07480441491097567,0.06187412652012609,0.07440567212262023,0.04945617739250717,0.048226882787036525,0.042463304601474364,0.051514639156642665
avg_down_month,-0.0429685217706936,-0.03572742769495606,-0.04488863995978568,-0.040149918528364914,-0.03839279951636636,-0.056774965445509744,-0.05769022441945111,-0.04629074897561291,-0.05005090897184237,-0.05389215373407639,-0.05808134422457403,-0.04569913155922062,-0.050130135323595365,-0.05479278999848981,-0.05190811340301904,-0.05098673080359191,-0.037497337555517374,-0.03868061876854433,-0.032559184155569396,-0.04581852279843456
win_year_perc,0.875,1.0,1.0,0.875,0.875,0.375,0.5,0.5,1.0,0.625,0.5,1.0,1.0,1.0,0.75,1.0,0.875,1.0,0.8888888888888888,0.6666666666666666
twelve_month_win_perc,0.845360824742268,0.8969072164948454,0.8556701030927835,0.6907216494845361,0.7319587628865979,0.3917525773195876,0.44329896907216493,0.6185567010309279,0.9072164948453608,0.6391752577319587,0.44329896907216493,0.8969072164948454,0.865979381443299,0.9896907216494846,0.7525773195876289,0.8556701030927835,0.9278350515463918,0.8041237113402062,0.7570093457943925,0.4392523364485981
