Date,Plot_Momentum,Plot_Mom_Sharpe,Plot_Mom_Slope,Plot_StDev,Plot_ROE,Plot_E/P,Plot_Sales/Price,Plot_BV/Price,Plot_Size_Factor,Plot_Quality,Plot_Value,Plot_MomSharpe_Size_EP,Plot_Vol_Size_EP,Plot_Mom_Size,Plot_Mom_EP,Plot_Size_EP,Plot_Mom_Size_Std,Plot_Size_Std
2019-12-23,12.289242034926994,20.90727905319563,16.92302924097791,3.332118269683607,3.6077312163573065,1.1785712939467847,1.5337974618092312,3.3624346509929217,31.43123437325998,2.840070853801591,1.5056594881710421,29.125009556536384,19.557159614856605,44.58701958484692,7.9332323856425155,11.312225949251914,10.256261521403413,5.631610510533901
2019-12-24,12.289868728330331,20.834138716708157,16.950466940022636,3.3360896308918053,3.6183457494711964,1.1854797334977492,1.538052540105102,3.375559053638828,31.186892243826254,2.8367750268572673,1.5098365057816538,29.072568634229224,19.624254480423847,44.35203399892546,7.911147309054529,11.39650933451165,10.23781315433761,5.627598951497565
2019-12-26,12.269884925513784,20.84164511646417,16.914341977285844,3.3647053904065407,3.6322646541869963,1.1897955242754825,1.5456216896998813,3.37553968440382,31.303548112333846,2.859172592606945,1.5172667970610008,29.03427063359078,19.673564112010016,44.53333009959455,7.945901847558788,11.495351912148209,10.298213704596566,5.660638819304985
2019-12-27,12.322628967878904,20.85072555965921,17.03188044617352,3.385661073526456,3.6342499475702517,1.1879886777873683,1.5467961914845907,3.4022206643329955,31.234670126873848,2.870702484890625,1.5184197522588374,29.226976467327507,19.66668047646806,44.74253023886816,8.019099602221095,11.525218049131928,10.28138423298693,5.647999651850624
2019-12-30,12.314733575256701,20.909943338565704,17.021424248697983,3.41774911083181,3.640413432343332,1.1878309117180634,1.5472434307456464,3.4327852354182498,31.76190272378011,2.883597477718329,1.5188587867817507,29.48908327405913,19.987722571571773,44.94577090015555,8.018991505672245,11.640694863116796,10.299603864858783,5.680533596593638
2019-12-31,12.312295884567419,20.740384617566612,17.02973367846677,3.43368101284747,3.6139774992699687,1.1873217940839607,1.5526279882118175,3.464712363116257,31.915871744424162,2.892453958931163,1.5241445629291304,29.45332304768789,19.95781042055476,44.77756153049661,8.02061258848788,11.66651623304886,10.256465611385776,5.723905177609376
2020-01-01,12.39070976931549,20.83944842627412,17.11697806595149,3.4743786105303354,3.6245596787705385,1.1849450044282275,1.5488585596003042,3.4785405268645375,32.26221324794741,2.9018960099333126,1.5204442856140188,29.461391399991967,19.86847817447257,45.06826207564731,8.054059031809793,11.587457612504117,10.331566574922903,5.838933791306012
2020-01-02,12.54488682209065,21.08642704768931,17.337775901961834,3.4869515520461656,3.6382838729128273,1.2100627283859535,1.593602893770562,3.557055735811994,32.710335447293836,2.9205610324341293,1.5643677715779847,29.961958075629948,20.471276192572255,45.96779210927123,8.219248462429782,11.906552898347222,10.415157723208806,5.8630623634752554
2020-01-03,12.514096786548011,20.95866205234074,17.13194068934039,3.491272789769797,3.632354390527205,1.212033794685117,1.5906732654244702,3.5884080554648787,32.788370522171135,2.906563928198607,1.561491888140999,29.902461113645455,20.504147166308016,45.72784061130887,8.18205261783325,11.92346145326799,10.400580687011432,5.875228419268738
2020-01-06,12.235367218246969,20.645366854265955,16.729833652332307,3.459096843352007,3.5807932224546937,1.180732373426996,1.5436807587948858,3.509525717255237,32.10878914293566,2.865841762767661,1.5153614731145495,29.32825501147256,19.85002969091314,44.9117442779411,8.024462335218605,11.590600348252035,10.273241979065732,5.79720592328912
2020-01-07,12.347468397037067,20.793849802058325,16.92436540137517,3.478024232235296,3.6182439675024556,1.193211712801736,1.556920631379634,3.5454718242730836,32.570806003440055,2.882798354015128,1.5283584562728652,29.62953795490324,20.002948979469362,45.729913148076804,8.060723647925998,11.65069593730817,10.324010793358374,5.835864590713958
2020-01-08,12.422293721073629,20.976985947204284,16.889365603592548,3.510554561869303,3.6361931790454607,1.1839018933327887,1.5505155044100736,3.5185972851236342,32.901924470059605,2.866319537380822,1.5220708332751827,29.521774117651574,19.869108233070122,45.85149163857488,7.968009375887735,11.53948676665594,10.361429379920514,5.868268620395047
2020-01-09,12.550945332808235,21.093136234161214,17.020162059817665,3.533922501564824,3.6815352382060986,1.2009940234336844,1.5835723818577248,3.543694312096032,33.41064246755658,2.8957702432782804,1.5545212724092081,29.730359292741028,20.31680323642079,46.45229005559857,8.024734742949217,11.766234034638632,10.414507629891746,5.951975045403034
2020-01-10,12.69255124837833,21.14749243077374,16.968137611354553,3.559848652843734,3.6957151186012545,1.203558278426513,1.586792381968986,3.55239391338813,33.85135702463952,2.9292774624222284,1.5576822006543973,29.560406686825605,20.3865197944884,46.80842267620566,7.995618267495074,11.82461993558695,10.476008161564048,6.053415531804528
2020-01-13,12.784721026973717,21.30274793499012,17.13102882328047,3.611663490199309,3.727200623284183,1.2134123193925026,1.606632703172573,3.6004618007739917,34.263686063285,2.9575345258514427,1.5771585452255408,29.88654087422091,20.5262242825548,47.01159309741208,8.111287048504112,11.917759672597093,10.572911585082133,6.1699621514240075
2020-01-14,12.993144104882177,21.643898558487752,17.410520104029484,3.606614098953003,3.78806602422041,1.2239381297680951,1.6200727118768306,3.6326021203727006,34.50384122182042,3.007803603156192,1.590351992946335,30.166337208560147,20.78225062138658,47.37097860871225,8.246210219776883,11.973905809910612,10.567602270170513,6.184757580328359
2020-01-15,13.351781853394298,22.064137025351773,18.00628944767901,3.626236265839774,3.8190134655419943,1.2376101297834403,1.6451263767406517,3.6849543193717302,34.66897576960313,3.0561697870782547,1.6149460408274505,30.845105572990292,21.152554961138662,48.21416538041183,8.454528917367654,12.170965464903917,10.614101969103912,6.185781026945848
2020-01-16,13.438994185069188,22.080097503628334,18.25822962207963,3.6550459158645205,3.8313613194795884,1.2539790453651452,1.6582441882293273,3.673310767202151,35.496310213664195,3.0806635085963747,1.627823202137045,31.211946472320076,21.570142186817193,48.45865216892054,8.506241476546341,12.432381653651387,10.766155422799839,6.220716359592842
2020-01-17,13.385374438450647,22.079151029037078,18.213345051700145,3.6535416280213884,3.871448540000172,1.246034679658444,1.6504049989012657,3.659910190248101,35.482159085422936,3.097328847222929,1.6201278250841697,31.168571503733137,21.67040437291234,48.528984880046345,8.499747611372083,12.413166129328246,10.790575808931504,6.171575069070483
2020-01-20,13.302267937674495,22.290691405669527,18.096688325655215,3.65395768962106,3.8791648292544925,1.246305345571355,1.6259648054832332,3.6236978695414073,35.632958397162724,3.0841910095867284,1.5961359943315034,31.235125965657975,21.64103155447111,48.5559177147579,8.481401217397071,12.402789765930427,10.788855519271179,6.193043092514632
2020-01-21,13.20887006987391,22.2782569011313,18.016403045321745,3.6452231375298623,3.90608018458893,1.2320100022602736,1.60996890982514,3.630617406763121,35.36291938835697,3.097898874164359,1.5804335481682448,30.98893347285151,21.54575230475175,48.3695645781051,8.42569663400402,12.28916081207776,10.816664936266065,6.206164058197082
2020-01-22,13.014148029126838,22.287357013266956,17.81636102831317,3.6290620248231833,3.8880179745572194,1.2321088517880683,1.6108549120872078,3.5662086289174866,35.177660468531954,3.085466878352423,1.581303296453556,30.7941205541283,21.466532649744163,47.91207942851294,8.359491539165482,12.370321197880113,10.834468280473008,6.160604271690198
2020-01-23,13.107341424675347,22.29378479494086,17.937786086602422,3.6146327415166897,3.891348013388822,1.2433226942131381,1.6338973750609194,3.586826020280065,35.331050077861136,3.1097575094427183,1.6039230385453669,30.601847778736364,21.473120166870967,47.944780027059274,8.32892558369118,12.397451601398037,10.907501196051584,6.140859098561878
2020-01-24,13.071818526761247,22.4489245283584,17.872552540148494,3.652640588763013,3.9065343871206943,1.2428993794018992,1.6499785432277494,3.6119743970804485,35.48019690152664,3.1279548846951517,1.6197091928676597,30.65503312613469,21.51455353122812,48.266775571869246,8.315945682163063,12.455097137046751,10.942684773301771,6.2099414902337235
2020-01-27,12.985938222223023,22.566057138578646,17.70800700801821,3.63131006015696,3.8905882073909392,1.2268586444816452,1.6287441805895095,3.5709368101274377,36.187369241879765,3.1242584350609532,1.598864380969342,30.478671140133358,21.652050472063706,48.46132879233456,8.262276993741715,12.478211365957407,10.98707693873203,6.212669435018292
